Number,Player,Tries,Carries Metres,Runs,Defenders Beaten,Clean Breaks,Passes,Offload,Turnovers Conceded,Try Assist,Points,Tackles,Missed Tackles,Turnover Won,Kicks From Hand,Conversion Goals,Penalty Goals,Drop Goals Converted,Lineout Throw Won Clean,Lineouts Won,Lineout Won Steal,Penalties Conceded,Red Cards,Yellow Cards,Team,Venue,Match_ID
1,Aidan Ross,0,8,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,CHI,Home,chiefs-highlanders-fmg-stadium-waikato-15022019
2,Nathan Harris,0,8,3,0,1,4,0,1,1,0,8,3,0,0,0,0,0,6,8,0,0,0,0,CHI,Home,chiefs-highlanders-fmg-stadium-waikato-15022019
3,Angus Taavao-Matau,1,4,5,0,1,1,0,0,0,5,4,1,0,0,0,0,0,0,0,0,1,0,0,CHI,Home,chiefs-highlanders-fmg-stadium-waikato-15022019
4,Brodie Retallick,0,13,10,2,0,4,3,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,CHI,Home,chiefs-highlanders-fmg-stadium-waikato-15022019
5,Michael Allardice,0,1,5,0,0,3,1,0,0,0,15,3,1,0,0,0,0,0,0,0,3,0,0,CHI,Home,chiefs-highlanders-fmg-stadium-waikato-15022019
6,Mitchell Brown,0,5,6,0,0,4,0,0,0,0,8,0,0,1,0,0,0,0,0,0,1,0,0,CHI,Home,chiefs-highlanders-fmg-stadium-waikato-15022019
7,Lachlan Boshier,0,8,5,0,0,3,0,2,0,0,15,0,1,0,0,0,0,0,0,0,1,0,0,CHI,Home,chiefs-highlanders-fmg-stadium-waikato-15022019
8,Tyler Ardron,1,12,7,2,1,3,0,1,0,5,11,2,0,0,0,0,0,0,0,0,0,0,0,CHI,Home,chiefs-highlanders-fmg-stadium-waikato-15022019
9,Brad Weber,0,7,3,0,0,59,0,2,0,4,4,0,0,2,2,0,0,0,0,0,0,0,0,CHI,Home,chiefs-highlanders-fmg-stadium-waikato-15022019
10,Orbyn Leger,0,17,8,1,0,11,1,2,1,0,7,1,0,4,0,0,0,1,1,0,0,0,0,CHI,Home,chiefs-highlanders-fmg-stadium-waikato-15022019
11,Etene Nanai-Seturo,2,29,8,3,2,4,0,0,0,10,6,0,0,1,0,0,0,1,1,0,0,0,0,CHI,Home,chiefs-highlanders-fmg-stadium-waikato-15022019
12,Anton Lienert-Brown,0,32,13,10,1,9,5,1,1,0,9,0,0,2,0,0,0,0,0,0,0,0,0,CHI,Home,chiefs-highlanders-fmg-stadium-waikato-15022019
13,Tumua Manu,0,44,7,1,0,5,0,0,0,0,3,2,0,1,0,0,0,1,1,0,1,0,0,CHI,Home,chiefs-highlanders-fmg-stadium-waikato-15022019
