Team,Position,Name
HIG,Scrumhalf,Aaron Smith
WAR,Centre,Adam Ashley-Cooper
REB,Lock,Adam Coleman
RED,Flank,Adam Korczyk
JAG,Hooker,Agustin Creevy
CHI,Loosehead Prop,Aidan Ross
RED,Wing,Aidan Toua
BLU,Number 8,Akira Ioane
HUR,Tighthead Prop,Alex Fidow
BLU,Loosehead Prop,Alex Hodgman
RED,Hooker,Alex Mafi
CHI,Centre,Alex Nankivell
WAR,Wing,Alex Newsome
SUN,Loosehead Prop,Alex Woonton
STO,Loosehead Prop,Alistair Vermaak
BRU,Tighthead Prop,Allan Alaalatoa
SUN,Number 8,Amanaki Mafi
REB,Hooker,Anaru Rangi
SHA,Centre,Andre Esterhuizen
CRU,Hooker,Andrew Makalio
WAR,Hooker,Andrew Tuala
LIO,Fullback,Andries Coetzee
BRU,Wing,Andy Muirhead
RED,Lock,Angus Blyth
REB,Flank,Angus Cottrell
RED,Number 8,Angus Scott-Young
CHI,Tighthead Prop,Angus Taavao-Matau
CHI,Centre,Anton Lienert-Brown
SHA,Fullback,Aphelele Fassi
LIO,Wing,Aphiwe Dyantyi
HUR,Flank,Ardie Savea
SHA,Hooker,Armand van der Merwe
SUN,Tighthead Prop,Asaeli Ai Valu
HUR,Hooker,Asafo Aumua
HIG,Hooker,Ash Dixon
CHI,Wing,Ataata Moeakiola
SUN,Hooker,Atsushi Sakate
CHI,Loosehead Prop,Atunaisa Moli
BLU,Scrumhalf,Augustine Pulu
HIG,Loosehead Prop,Ayden Johnstone
CHI,Wing,Bailyn Sullivan
JAG,Wing,Bautista Delguy
JAG,Centre,Bautista Ezcurra
HUR,Flyhalf,Beauden Barrett
CRU,Hooker,Ben Funnell
SUN,Flank,Ben Gunter
HUR,Wing,Ben Lam
HUR,Tighthead Prop,Ben May
HIG,Fullback,Ben Smith
WAR,Flyhalf,Bernard Foley
REB,Centre,Bill Meakes
CRU,Flank,Billy Harmon
HUR,Back,Billy Proctor
BRU,Lock,Blake Enever
BLU,Flank,Blake Gibson
CHI,Scrumhalf,Brad Weber
REB,Flank,Brad Wilkin
CHI,Hooker,Bradley Slater
RED,Hooker,Brandon Paenga-Amosa
