Player,Team,Country
Aidan Ross,CHI,NZ
Nathan Harris,CHI,NZ
Angus Ta'avao,CHI,NZ
Brodie Retallick,CHI,NZ
Michael Allardice,CHI,NZ
Mitchell Brown,CHI,NZ
Lachlan Boshier,CHI,NZ
Tyler Ardron,CHI,NZ
Brad Weber,CHI,NZ
Orbyn Leger,CHI,NZ
Etene Nanai-Seturo,CHI,NZ
Anton Lienert-Brown,CHI,NZ
Tumua Manu,CHI,NZ
Bailyn Sullivan,CHI,NZ
Shaun Stevenson,CHI,NZ
Samisoni Taukei'aho,CHI,NZ
Tevita Mafileo,CHI,NZ
Nepo Laulala,CHI,NZ
Taleni Seu,CHI,NZ
Jesse Parete,CHI,NZ
Te Toiroa Tahuriorangi,CHI,NZ
Stephen Donald,CHI,NZ
Ataata Moeakiola,CHI,NZ
Ayden Johnstone,HIG,NZ
Liam Coltman,HIG,NZ
Tyrel Lomax,HIG,NZ
Pari Pari Parkinson,HIG,NZ
Josh Dickson,HIG,NZ
Jackson Hemopo,HIG,NZ
James Lentjes,HIG,NZ
Luke Whitelock,HIG,NZ
Kayne Hammington,HIG,NZ
Josh Ioane,HIG,NZ
Tevita Li,HIG,NZ
Thomas Umaga-Jensen,HIG,NZ
Rob Thompson,HIG,NZ
Matt Faddes,HIG,NZ
Ben Smith,HIG,NZ
Ash Dixon,HIG,NZ
Dan Lienert-Brown,HIG,NZ
Siate Tokolahi,HIG,NZ
Shannon Frizell,HIG,NZ
Dillon Hunt,HIG,NZ
Aaron Smith,HIG,NZ
Bryn Gatland,HIG,NZ
Sio Tomkinson,HIG,NZ
James Slipper,BRU,AUS
Folau Fainga'a,BRU,AUS
Allan Alaalatoa,BRU,AUS
Rory Arnold,BRU,AUS
Sam Carter,BRU,AUS
Rob Valetini,BRU,AUS
David Pocock,BRU,AUS
Lachlan McCaffrey,BRU,AUS
Joe Powell,BRU,AUS
Christian Lealiifano,BRU,AUS
Toni Pulu,BRU,AUS
Irae Simone,BRU,AUS
Tevita Kuridrani,BRU,AUS
Henry Speight,BRU,AUS
Thomas Banks,BRU,AUS
Josh Mann-Rea,BRU,AUS
Scott Sio,BRU,AUS
Les Makin,BRU,AUS
Blake Enever,BRU,AUS
Peter Samu,BRU,AUS
Matt Lucas,BRU,AUS
Wharenui Hawera,BRU,AUS
Andy Muirhead,BRU,AUS
Tetera Faulkner,REB,AUS
Anaru Rangi,REB,AUS
Jermaine Ainsley,REB,AUS
Luke Jones,REB,AUS
Matt Philip,REB,AUS
Angus Cottrell,REB,AUS
Richard Hardwick,REB,AUS
Isi Naisarani,REB,AUS
Will Genia,REB,AUS
Quade Cooper,REB,AUS
Marika Koroibete,REB,AUS
Bill Meakes,REB,AUS
Tom English,REB,AUS
