Number,Player,Tries,Carries Metres,Runs,Defenders Beaten,Clean Breaks,Passes,Offload,Turnovers Conceded,Try Assist,Points,Tackles,Missed Tackles,Turnover Won,Kicks From Hand,Conversion Goals,Penalty Goals,Drop Goals Converted,Lineout Throw Won Clean,Lineout Won Steal,Penalties Conceded,Red Cards,Yellow Cards,Team,Venue,Match_ID
1,Alex Hodgman,0,7,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,BLU,Home,blues-chiefs-eden-park-31012020
2,Kurt Eklund,0,3,2,0,0,2,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,BLU,Home,blues-chiefs-eden-park-31012020
3,Sione Mafileo,0,6,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,BLU,Home,blues-chiefs-eden-park-31012020
4,Patrick Tuipulotu,0,4,5,0,0,0,0,2,0,0,6,2,0,0,0,0,0,2,0,2,0,0,BLU,Home,blues-chiefs-eden-park-31012020
5,Tom Robinson,0,16,10,0,0,1,0,2,0,0,7,1,1,0,0,0,0,1,1,0,0,0,BLU,Home,blues-chiefs-eden-park-31012020
6,Dalton Papalii,0,9,5,1,0,0,0,0,0,0,9,1,0,0,0,0,0,2,0,1,0,0,BLU,Home,blues-chiefs-eden-park-31012020
7,Tony Lamborn,1,45,5,0,1,0,0,1,0,5,7,0,0,1,0,0,0,1,0,0,0,0,BLU,Home,blues-chiefs-eden-park-31012020
8,Hoskins Sotutu,0,80,10,5,1,7,2,1,0,0,4,1,0,0,0,0,0,2,0,0,0,0,BLU,Home,blues-chiefs-eden-park-31012020
9,Jonathan Ruru,0,2,5,1,0,56,1,2,0,0,5,0,0,3,0,0,0,0,0,0,0,0,BLU,Home,blues-chiefs-eden-park-31012020
10,Stephen Perofeta,0,37,11,2,2,29,2,1,1,6,6,2,0,5,3,0,0,0,0,0,0,0,BLU,Home,blues-chiefs-eden-park-31012020
11,Rieko Ioane,2,17,7,3,1,3,0,1,0,10,2,1,1,0,0,0,0,0,0,0,0,0,BLU,Home,blues-chiefs-eden-park-31012020
12,TJ Faiane,0,41,10,3,1,4,1,0,1,0,6,2,0,0,0,0,0,0,0,1,0,0,BLU,Home,blues-chiefs-eden-park-31012020
13,Joe Marchant,0,23,4,0,1,1,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,BLU,Home,blues-chiefs-eden-park-31012020
14,Mark Telea,0,53,10,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLU,Home,blues-chiefs-eden-park-31012020
