Team,Score,Metres carried,Carries,Defenders beaten,Clean breaks,Offloads,Turnovers conceded,Missed tackles,Turnovers won,Conversions missed,Penalty goals,Penalty goals missed,Drop goals,Drop goals missed,Rucks won %,Mauls won,Lineouts won,Lineouts lost,Lineouts won %,Scrums won,Scrums lost,Scrums won %,Penalties conceded,Red cards,Yellow cards,Possession,Tries,Passes,Tackles,Kicks in play,Conversions,Rucks won,Rucks lost,Match_ID
CHI,27,306,113,26,9,10,12,21,4,2,1,1,0,0,46%,4,11,4,46%,6,0,43%,10,0,0,0.48,4,136,130,21,2,71,4,chiefs-highlanders-fmg-stadium-waikato-15022019
HIG,30,448,120,21,13,13,15,26,3,0,3,0,0,0,52%,6,13,0,54%,8,0,57%,7,1,0,0.52,3,162,123,25,3,79,3,chiefs-highlanders-fmg-stadium-waikato-15022019
BRU,27,353,102,22,13,7,13,15,7,2,1,0,0,0,57%,4,11,3,48%,6,0,46%,6,0,0,0.54,4,111,97,20,2,70,3,brumbies-rebels-gio-stadium-15022019
REB,34,390,93,15,13,6,15,22,5,2,1,1,0,0,41%,3,12,0,52%,6,1,46%,11,0,0,0.46,5,97,114,21,3,50,2,brumbies-rebels-gio-stadium-15022019
BLU,22,468,133,20,8,10,13,15,7,1,1,2,0,0,66%,4,6,2,35%,11,0,61%,11,0,1,0.64,3,145,80,9,2,98,5,blues-crusaders-eden-park-16022019
CRU,24,235,61,15,7,1,11,20,8,2,0,1,0,0,33%,5,10,1,59%,7,0,39%,13,0,1,0.36,2,83,182,11,0,49,1,blues-crusaders-eden-park-16022019
WAR,19,321,102,19,4,6,14,20,7,0,4,1,0,0,48%,3,10,3,33%,3,1,23%,14,0,0,0.47,1,136,123,16,1,75,3,nsw-waratahs-hurricanes-brookvale-oval-16022019
HUR,20,260,100,20,6,3,13,19,4,0,2,0,0,0,51%,8,17,3,57%,9,1,69%,12,0,0,0.53,2,126,114,20,2,79,2,nsw-waratahs-hurricanes-brookvale-oval-16022019
SUN,10,323,82,9,6,3,19,12,6,0,1,0,0,0,43%,3,15,2,50%,5,3,26%,16,0,1,0.44,1,111,117,21,1,51,3,sunwolves-sharks-singapore-national-stadium-16022019
SHA,45,364,102,12,8,9,19,9,4,0,1,0,0,0,55%,6,13,2,43%,14,0,74%,7,0,0,0.56,6,113,86,21,6,66,3,sunwolves-sharks-singapore-national-stadium-16022019
BUL,40,307,72,19,7,5,9,12,8,0,4,0,0,0,36%,2,12,0,39%,5,1,38%,12,0,0,0.42,4,102,135,39,4,48,2,bulls-stormers-loftus-versfeld-16022019
STO,3,164,99,12,1,4,16,19,3,0,1,0,0,0,61%,3,14,5,45%,7,1,54%,8,0,0,0.58,0,139,78,20,0,82,4,bulls-stormers-loftus-versfeld-16022019
JAG,16,387,134,16,3,3,22,15,9,0,3,0,0,0,64%,7,12,0,38%,5,0,42%,14,0,0,0.61,1,166,73,27,1,94,9,jaguares-lions-estadio-jose-amalfitani-16022019
LIO,25,266,89,15,6,8,17,16,14,1,2,0,0,0,34%,5,19,1,59%,6,1,50%,10,0,0,0.39,3,110,152,32,2,49,3,jaguares-lions-estadio-jose-amalfitani-16022019
HIG,36,557,141,26,15,10,13,26,6,1,1,0,0,0,58%,5,10,4,56%,4,0,44%,6,0,0,0.58,5,176,106,16,4,98,3,highlanders-reds-forsyth-barr-stadium-22022019
RED,31,455,101,26,10,9,9,26,3,0,1,0,0,0,41%,2,5,3,28%,5,0,56%,8,0,0,0.42,4,132,145,25,4,69,2,highlanders-reds-forsyth-barr-stadium-22022019
SUN,30,591,96,24,12,8,16,26,10,0,3,0,0,1,36%,1,7,3,30%,5,0,45%,9,0,1,0.37,3,133,149,21,3,56,6,sunwolves-nsw-waratahs-prince-chichibu-memorial-stadium-23022019
WAR,31,640,160,26,23,22,18,24,6,2,0,0,0,0,62%,4,16,0,70%,4,2,36%,8,0,0,0.63,4,227,90,18,2,96,4,sunwolves-nsw-waratahs-prince-chichibu-memorial-stadium-23022019
CRU,38,468,149,32,17,15,13,29,6,2,0,0,0,0,50%,3,12,1,44%,6,0,40%,13,0,1,0.52,6,177,135,13,4,103,4,crusaders-hurricanes-christchurch-stadium-23022019
HUR,22,434,128,29,9,4,19,32,6,3,0,0,0,0,48%,2,9,6,33%,8,1,53%,13,0,0,0.48,4,157,150,10,1,100,4,crusaders-hurricanes-christchurch-stadium-23022019
BRU,54,463,95,23,15,13,7,12,5,1,0,0,0,0,49%,4,9,2,47%,9,0,56%,10,0,0,0.52,8,129,83,10,7,57,2,brumbies-chiefs-gio-stadium-23022019
CHI,17,165,82,12,2,3,14,23,5,0,1,1,0,0,50%,4,9,1,47%,6,1,38%,8,0,0,0.48,2,110,81,7,2,58,2,brumbies-chiefs-gio-stadium-23022019
SHA,26,449,87,14,14,7,17,28,6,1,0,0,0,0,28%,4,13,2,50%,7,0,44%,11,0,1,0.34,4,81,140,17,3,42,3,sharks-blues-jonsson-kings-park-23022019
BLU,7,362,141,28,6,11,17,14,7,0,0,0,0,0,69%,1,11,2,42%,9,0,56%,9,0,0,0.66,1,177,78,16,1,102,4,sharks-blues-jonsson-kings-park-23022019
STO,19,260,107,19,3,8,16,9,7,0,4,1,0,0,51%,4,13,1,48%,8,1,50%,13,0,1,0.52,1,118,110,21,1,78,3,stormers-lions-dhl-newlands-23022019
